Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
47,PMR3-14,446.031250,,0.000000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
48,PMR3-15,446.031250,,0.000000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
49,PMR4,446.043750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
50,PMR4-01,446.043750,,0.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
51,PMR4-02,446.043750,,0.000000,TSQL,88.5,71.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
52,PMR4-03,446.043750,,0.000000,TSQL,88.5,74.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
53,PMR4-04,446.043750,,0.000000,TSQL,88.5,77.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
54,PMR4-05,446.043750,,0.000000,TSQL,88.5,79.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
55,PMR4-06,446.043750,,0.000000,TSQL,88.5,82.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
56,PMR4-07,446.043750,,0.000000,TSQL,88.5,85.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
57,PMR4-08,446.043750,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
58,PMR4-09,446.043750,,0.000000,TSQL,88.5,91.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
59,PMR4-10,446.043750,,0.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
60,PMR4-11,446.043750,,0.000000,TSQL,88.5,97.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
61,PMR4-12,446.043750,,0.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
62,PMR4-13,446.043750,,0.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
63,PMR4-14,446.043750,,0.000000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
64,PMR4-15,446.043750,,0.000000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
65,PMR5,446.056250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
66,PMR5-01,446.056250,,0.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
67,PMR5-02,446.056250,,0.000000,TSQL,88.5,71.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
68,PMR5-03,446.056250,,0.000000,TSQL,88.5,74.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
69,PMR5-04,446.056250,,0.000000,TSQL,88.5,77.0,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
70,PMR5-05,446.056250,,0.000000,TSQL,88.5,79.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
71,PMR5-06,446.056250,,0.000000,TSQL,88.5,82.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
72,PMR5-07,446.056250,,0.000000,TSQL,88.5,85.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
73,PMR5-08,446.056250,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
74,PMR5-09,446.056250,,0.000000,TSQL,88.5,91.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
75,PMR5-10,446.056250,,0.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
76,PMR5-11,446.056250,,0.000000,TSQL,88.5,97.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
