Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,RV48,145.600000,-,0.600000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
2,RV49,145.612500,-,0.600000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
3,RV50,145.625000,-,0.600000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
4,RV51,145.637500,-,0.600000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
5,RV52,145.650000,-,0.600000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
6,RV53,145.662500,-,0.600000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
7,RV54,145.675000,-,0.600000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
8,RV55,145.687500,-,0.600000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
9,RV56,145.700000,-,0.600000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
10,RV57,145.712500,-,0.600000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
11,RV58,145.725000,-,0.600000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
12,RV59,145.737500,-,0.600000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
13,RV60,145.750000,-,0.600000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
14,RV61,145.762500,-,0.600000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
15,RV62,145.775000,-,0.600000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
16,RV63,145.787500,-,0.600000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
