Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,U272,433.400000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
1,U274,433.425000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
2,U276,433.450000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
3,U278,433.475000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
4,U280CAL,433.500000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
5,U282,433.525000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
6,U284,433.550000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
7,U286,433.575000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
