Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
76,MAR86,161.925000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
77,MAR86A,157.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
78,MAR87,161.975000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
79,MAR87A,157.375000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
80,MAR88,162.025000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
81,MAR88A,157.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
82,FRS 1,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
83,FRS 2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
84,FRS 3,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
85,FRS 4,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
86,FRS 5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
87,FRS 6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
88,FRS 7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
89,FRS 8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
90,FRS 9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
91,FRS 10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
92,FRS 11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
93,FRS 12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
94,FRS 13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
95,FRS 14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
96,FRS 15,462.550000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
97,FRS 16,462.575000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
98,FRS 17,462.600000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
99,FRS 18,462.625000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
100,FRS 19,462.650000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
101,FRS 20,462.675000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
102,FRS 21,462.700000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
103,FRS 22,462.725000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
104,GMRS 1,462.562500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
105,GMRS 2,462.587500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
106,GMRS 3,462.612500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
107,GMRS 4,462.637500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
108,GMRS 5,462.662500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
109,GMRS 6,462.687500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
110,GMRS 7,462.712500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
111,GMRS 8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
112,GMRS 9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
113,GMRS 10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
114,GMRS 11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
115,GMRS 12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
116,GMRS 13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
117,GMRS 14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
118,GMRS 15,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
119,GMRS 16,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
120,JAKT 1,155.425000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
121,JAKT 2,155.475000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
122,JAKT 3,155.500000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
123,JAKT 4,155.525000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
124,JAKT 5,156.000000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
125,JAKT 6,156.400000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
126,JAKT 7,156.450000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
127,DKJAGT,164.350000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
