Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
697,GB7YZ,439.475000,-,9.000000,,67.0,67.0,023,NN,FM,12.50,,MOLD,,,,
698,GB7ZE,433.050000,+,1.600000,Tone,103.5,103.5,023,NN,FM,12.50,,HASTINGS,,,,
699,GB7ZP,439.487500,-,9.000000,,67.0,67.0,023,NN,FM,12.50,,CHELMSFORD,,,,
700,GB7ZT,439.400000,-,9.000000,,67.0,67.0,023,NN,FM,12.50,,BALLANTRAE,,,,
701,MB5BW,145.587500,-,0.600000,Tone,82.5,82.5,023,NN,FM,12.50,,WAKEFIELD,,,,
702,MB5CR,430.825000,+,7.600000,Tone,94.8,94.8,023,NN,FM,12.50,,CROMER,,,,
703,MB5DL,430.900000,+,7.600000,Tone,118.8,118.8,023,NN,FM,12.50,,LEDBURY,,,,
704,MB5DS,430.925000,+,7.600000,Tone,82.5,82.5,023,NN,FM,12.50,,MABLETHORPE,,,,
705,MB5KT,430.300000,+,9.000000,,67.0,67.0,023,NN,FM,12.50,,KEIGHLEY,,,,
706,MB6AD,431.075000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,MILFORD-ON-SEA,,,,
707,MB6AF,144.825000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,LUMPHANAN,,,,
708,MB6AG,144.825000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,POOLE,,,,
709,MB6AL,431.087500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,ASHTON-UNDER-LYNE,,,,
710,MB6AN,144.825000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,ANNAN,,,,
711,MB6AR,144.862500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,ARDROSSAN,,,,
712,MB6AV,144.812500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,PORT TALBOT,,,,
713,MB6AX,144.812500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,AXMINSTER,,,,
714,MB6AY,431.075000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,MAYBOLE,,,,
715,MB6AY,144.887500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,MAYBOLE,,,,
716,MB6AZ,433.637500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,NORTHAMPTON,,,,
717,MB6BA,144.862500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,BARRY,,,,
718,MB6BB,144.850000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,BRECON,,,,
719,MB6BC,431.062500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,BILSTON,,,,
720,MB6BG,431.137500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,BANGOR,,,,
721,MB6BH,144.825000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,BIRKENHEAD,,,,
722,MB6BK,144.837500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,BRACKNELL,,,,
723,MB6BN,431.112500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,BOLTON,,,,
724,MB6BR,434.487500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,BOROUGH GREEN,,,,
725,MB6BS,144.812500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,CARRBRIDGE,,,,
726,MB6BT,144.825000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,BROADSTAIRS,,,,
727,MB6BW,431.150000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,BARNSLEY,,,,
728,MB6CB,144.837500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,CAMBRIDGE,,,,
729,MB6CC,144.850000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,ST AUSTELL,,,,
730,MB6CF,144.850000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,CLAYTON LE MOORS,,,,
731,MB6CG,431.112500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,CARDIFF,,,,
732,MB6CH,431.075000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,CHESTERFIELD,,,,
733,MB6CL,431.087500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,REDRUTH,,,,
734,MB6CM,431.087500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,MAESTEG,,,,
735,MB6CS,431.087500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,CHELTENHAM,,,,
736,MB6CT,144.837500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,CADISHEAD,,,,
737,MB6CY,144.875000,-,144.875000,,67.0,67.0,023,NN,FM,12.50,,CLYDEBANK,,,,
738,MB6DB,431.100000,-,431.100000,,67.0,67.0,023,NN,FM,12.50,,DULNAIN BRIDGE,,,,
739,MB6DE,144.825000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,DEREHAM,,,,
740,MB6DF,431.075000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,DUNFERMLINE,,,,
741,MB6DH,144.812500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,ST IVES,,,,
742,MB6DN,144.850000,-,144.850000,,67.0,67.0,023,NN,FM,12.50,,NORTHWICH,,,,
743,MB6DO,144.837500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,DONCASTER,,,,
744,MB6DQ,431.100000,-,431.100000,,67.0,67.0,023,NN,FM,12.50,,ALEXANDRIA,,,,
745,MB6DR,431.075000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,DURHAM CITY,,,,
746,MB6DT,144.812500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,BARNSTAPLE,,,,
747,MB6DV,431.100000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,BRADFORD,,,,
748,MB6DV,144.825000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,BRADFORD,,,,
749,MB6DW,144.875000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,WAKEFIELD,,,,
750,MB6DY,144.862500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,LONDONDERRY,,,,
751,MB6EA,434.475000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,NEWBURY,,,,
752,MB6EP,431.137500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,ELLESMERE PORT,,,,
753,MB6ER,144.862500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,ABERDEEN,,,,
754,MB6EY,144.825000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,WITHERNSEA ,,,,
755,MB6FA,433.662500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,FAREHAM,,,,
756,MB6FC,144.850000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,SUTTON IN ASHFIELD,,,,
757,MB6FD,144.812500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,ALFORD,,,,
758,MB6FF,431.137500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,PRESTONPANS,,,,
759,MB6FP,144.850000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,ABERDEEN,,,,
760,MB6FQ,431.100000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,SWANSEA,,,,
761,MB6FR,144.825000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,FRECKLETON,,,,
762,MB6FS,144.812500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,INVERURIE,,,,
763,MB6FT,144.825000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,OTTERY ST MARY,,,,
764,MB6FU,144.837500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,NAIRN,,,,
765,MB6GC,431.125000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,SHEFFIELD,,,,
766,MB6GG,144.850000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,WORTHING,,,,
767,MB6GK,434.512500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,GILLINGHAM,,,,
768,MB6GL,144.812500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,GALASHIELS,,,,
769,MB6GO,144.825000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,ROYTON,,,,
770,MB6GP,431.125000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,PORT GLASGOW,,,,
771,MB6GP,144.825000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,PORT GLASGOW,,,,
772,MB6GR,431.187500,-,431.187500,,67.0,67.0,023,NN,FM,12.50,,BILLINGE,,,,
773,MB6GW,144.812500,-,144.812500,,67.0,67.0,023,NN,FM,12.50,,WASHINGTON,,,,
774,MB6HA,144.862500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,KIMPTON,,,,
775,MB6HG,144.862500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,ORMSKIRK,,,,
776,MB6HP,144.837500,-,144.837500,,67.0,67.0,023,NN,FM,12.50,,HOOTON,,,,
