Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,RB0,433.000000,+,1.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
1,RB1,433.025000,+,1.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
2,RB2,433.050000,+,1.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
3,RB3,433.075000,+,1.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
4,RB4,433.100000,+,1.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
5,RB5,433.125000,+,1.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
6,RB6,433.150000,+,1.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
7,RB7,433.175000,+,1.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
8,RB8,433.200000,+,1.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
9,RB9,433.225000,+,1.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
10,RB10,433.250000,+,1.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
11,RB11,433.275000,+,1.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
12,RB12,433.300000,+,1.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
13,RB13,433.325000,+,1.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
14,RB14,433.350000,+,1.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
15,RB15,433.375000,+,1.600000,,88.5,88.5,023,NN,FM,25.00,,,,,,
16,RU66,430.825000,+,7.600000,,88.5,88.5,023,NN,NFM,25.00,,,,,,
17,RU67,430.837500,+,7.600000,,88.5,88.5,023,NN,NFM,25.00,,,,,,
18,RU68,430.850000,+,7.600000,,88.5,88.5,023,NN,NFM,25.00,,,,,,
19,RU69,430.862500,+,7.600000,,88.5,88.5,023,NN,NFM,25.00,,,,,,
20,RU70,430.875000,+,7.600000,,88.5,88.5,023,NN,NFM,25.00,,,,,,
21,RU71,430.887500,+,7.600000,,88.5,88.5,023,NN,NFM,25.00,,,,,,
22,RU72,430.900000,+,7.600000,,88.5,88.5,023,NN,NFM,25.00,,,,,,
23,RU73,430.912500,+,7.600000,,88.5,88.5,023,NN,NFM,25.00,,,,,,
24,RU74,430.925000,+,7.600000,,88.5,88.5,023,NN,NFM,25.00,,,,,,
25,RU75,430.937500,+,7.600000,,88.5,88.5,023,NN,NFM,25.00,,,,,,
26,RU76,430.950000,+,7.600000,,88.5,88.5,023,NN,NFM,25.00,,,,,,
27,RU77,430.962500,+,7.600000,,88.5,88.5,023,NN,NFM,25.00,,,,,,
28,RU78,430.975000,+,7.600000,,88.5,88.5,023,NN,NFM,25.00,,,,,,
